código;descrição;estação;Rack;linha;coluna
38476;BOT PINCEL FAN IND VS3;SALA G;Rack 1;3;A
14482;FLACONETE LILY ESSENCE EDP 4ml VE;RUA 03;Rack 7;9;F
40548;KIT VD CAIXA VERTICAL PP ROSA UNIT 14;SALA G;Rack 3;1;A
25458;FLORATTA DES COL BLUE 75ml;rua 6;Rack 1;1;A
42224;CAPINHA GLITTER DOURADO EM SILICONE;RUA 03;Rack 8;8;A
40086;MAKE B PINCEL BLUSH;RUA 03;Rack 9;7;E
40090;MAKE B PINCEL ESFUMAR SOMBRA;RUA 03;Rack 9;4;D
19734;THATY DES COL BOTICOLL 100ML;RUA 02;Rack 1;1;C
22248;CECITA DES COL BOTICOLL 100ML;RUA 01;Rack 6;2;C
22249;FREE DES COL BOTICOLL 100ML V4;RUA 01;Rack 3;3;C
27858;MAKE B LAP RETR P/OLH PRET PCK;RUA 03;Rack 4;7;C
71500;MAKE B LAP RETR P/OLH MARR PCK V2;RUA 03;Rack 4;5;B
72052;EGEO MOUS CREM HID DES CPO D MER 250g V6;RUA 04;Rack 10;2;E
71815;EGEO CREM HID DES CPO SUFLE CHOC 250g;RUA 04;Rack 8;3;J
70683;DR BOTICA SAB BARRA TRIO BNH CORAC 80g;RUA 04;Rack 3;4;G
70683;DR BOTICA SAB BARRA TRIO BNH CORAC 80g;RUA 04;Rack 8;2;E
70668;SOPHIE COL HELLO 100ml;RUA 01;Rack 4;3;C
70669;SOPHIE COL LIKE 100ml;RUA 01;Rack 9;3;C
44414;PLACA DE REVENDEDOR O BOTICÁRIO;SALA G;Rack 2;1;K
71877;CRAZY FEELINGS DES COL BOTICOLL 100ml;RUA 02;Rack 4;4;A
44675;BOT BLOCO DE PEDIDOS VD;rua 6;Rack 1;1;B
44692;BOTI FITA OLFATIVA VD;SALA G;Rack 2;7;C
76621;DREAM DES COL CEU/BAUN 200ml;RUA 01;Rack 8;2;F
73608;MALBEC DES COL NOIR 100ml V2;RUA 04;Rack 7;3;A
44580;MAKE B PINC ESPIRAL P/PELE;SALA G;Rack 1;5;G
70693;SOPHIE LOC HID CPO 200ml;RUA 02;Rack 1;4;G
76689;MAKE B CANET DEL OLH P/FIN PRET 1,2ml V3;RUA 03;Rack 4;6;L
44410;MAKE B PINC LEQUE;SALA G;Rack 1;3;F
44805;MAKE B NECESS POMPOM LISTRAS PU S/A;rua 6;Rack 1;1;C
77547;QDB BASE LIQ SUPERMAT COR 01 N 30ml RPCK;pré-vencidos;Rack 1;2;O
77552;QDB BASE LIQ SUPERMAT COR 04 F 30ml RPCK;pré-vencidos;Rack 1;1;X
77554;QDB BASE LIQ SUPERMAT COR 04 N 30ml RPCK;pré-vencidos;Rack 1;4;I
77556;QDB BASE LIQ SUPERMAT COR 06 N 30ml RPCK;pré-vencidos;Rack 1;3;Q
77557;QDB BASE LIQ SUPERMAT COR 06 Q 30ml RPCK;pré-vencidos;Rack 1;1;Y
77561;QDB BASE LIQ SUPERMAT COR 09 Q 30ml RPCK;pré-vencidos;Rack 1;1;Z
79496;QDB BASE LIQ SUPERMAT COR 12 Q 30ml RPCK;pré-vencidos;Rack 1;4;A
79497;QDB BASE LIQ SUPERMAT COR 13 Q 30ml RPCK;pré-vencidos;Rack 1;3;R
79497;QDB BASE LIQ SUPERMAT COR 13 Q 30ml RPCK;RUA 03;Rack 3;8;E
79499;QDB BASE LIQ SUPERMAT COR 14 N 30ml RPCK;RUA 03;Rack 4;2;V
79498;QDB BASE LIQ SUPERMAT COR 14 Q 30ml RPCK;pré-vencidos;Rack 1;2;A
79500;QDB BASE LIQ SUPERMAT COR 15 Q 30ml RPCK;pré-vencidos;Rack 1;1;L
37514;QDB PINCEL ESFUMADOR PARA SOMBRA;RUA 03;Rack 9;8;D
39437;QDB PINCEL SOBRANCELHA DUPLO;rua 6;Rack 1;1;D
37516;QDB PINCEL SOMBRA;SALA G;Rack 1;5;B
42115;QDB PINCEL PO VS2;SALA G;Rack 1;3;D
42108;QDB PINCEL BLUSH VS2;SALA G;Rack 1;4;B
70877;GLAM LAPIS KAJAL COM ESFUMADOR  MARROM INTENSO 1,1G;pré-vencidos;Rack 1;4;J
70878;GLAM LAPIS KAJAL COM ESFUMADOR  PRETO ABSOLUTO 1,1G;rua 6;Rack 1;1;E
70883;GLAM CANETA DELIN PRETA 1ml;pré-vencidos;Rack 1;4;B
75756;MAKE B CANET SOBR MICROBL UP/BR CL 1ml;pré-vencidos;Rack 1;2;Y
75776;MAKE B SOL SOBRANC UP/BR MED 6,9g;pré-vencidos;Rack 1;4;K
75777;MAKE B SOL SOBRANC UP/BR ESC 6,9g;RUA 03;Rack 3;8;X
29046;CONNEXION DES BDY SPR 100ml V6 PCK;RUA 04;Rack 8;4;A
